title,synopsis,genre_id
Kakinoki Shougi,Serious shogi (Japanese chess) simulator with strong AI and customizable rule settings.,
Kamaitachi no Yoru,Interactive horror adventure (sound novel) where players make choices impacting the mystery’s outcome.,
Kamen Rider,Action-platformer based on the tokusatsu hero; battle evil using Rider powers and motorcycles.,
Kamen Rider SD: Shutsugeki!! Rider Machine,SD-style Kamen Rider action with humorous mini-games and vehicle combat.,
Kashiwagi Shigetaka no Top Water Bassing,"Fishing sim specializing in topwater bass techniques, featuring pro angler Kashiwagi.",
Kat's Run: Zennihon K Car Senshuken,Racing game focused on Kei cars across Japan; drift and tight handling are key.,
Katou Hifumi Kudan: Shougi Club,Shogi training game with commentary from professional player Hifumi Katou.,
Kawa no Nushi Tsuri 2,Charming fishing adventure with RPG elements as you journey to become a river master.,
Kawasaki Caribbean Challenge,Racing sim featuring Kawasaki bikes in tropical island circuits.,
Kawasaki Superbike Challenge,High-speed superbike racing with official Kawasaki models and realistic physics.,
Keeper,Strategy sim where you manage resources and defend your base from invading forces.,
Keiba Eight Special,Horse racing sim with eight special events and in-depth race strategy.,
Keiba Eight Special 2,Sequel expanding event roster and improving racing AI for deeper management.,
Ken Griffey Jr. Presents Major League Baseball,Baseball sim featuring star Ken Griffey Jr. and realistic MLB action.,
Ken Griffey Jr.s Winning Run,Arcade-style baseball game where Griffey leads your team to victory with clutch hits.,
Kendo Rage,Violent action fighter in historic Japan; use swords and street fighting techniques to win.,
Kenyuu Densetsu Yaiba,"Ninja-themed action RPG full of swords, stealth, and dramatic storytelling.",
Kero Kero Keroppi no Bouken Nikki: Nemureru Mori no Keroleen,Cute adventure with Keroppi exploring a dreamy forest to solve puzzles.,
Kessen! Dokapon Oukoku IV - Densetsu no Yuusha-tachi,"RPG board game with Dokapon-style combat, strategy, and hero recruitment.",
Kevin Keegan's Player Manager,"Soccer sim combining team management and match control, starring football legend Kevin Keegan.",
Kick Off,Fast-paced top-down soccer sim with simple controls and realistic ball physics.,
The Irem Skins Game,Golf sim with real golfers and match-play mechanics in a realistic golfing environment.,
The Itchy & Scratchy Game,Cartoon beat-’em-up featuring the ultra-violent duo from *The Simpsons*.,
The Jetsons: Invasion of the Planet Pirates,Side-scrolling adventure where the Jetsons battle space pirates to save Elroy.,
The Jungle Book,Action-platformer featuring Mowgli navigating jungle dangers and Disney characters.,
Der Langrisser,Tactical fantasy RPG with branching paths and large-scale strategic battles.,
Kick Off 3 - European Challenge,Updated soccer sim with European tournaments and club competitions.,
Kid Klown in Crazy Chase,Wacky platformer where Kid Klown races to catch his runaway princess through chaotic levels.,
Kidou Butouden G-Gundam,Fighting game based on the G-Gundam anime with flashy robot combos and over-the-top special moves.,
Kidou Keisatsu Patlabor,Tactical mech action game where you pilot a police labor to maintain law and order.,
Kidou Senshi Gundam F91: Formula Senki 0122,Mecha action based on Gundam F91’s storyline with mobile suit battles.,
Kidou Senshi Gundam: Cross Dimension 0079,Strategy sim mixing 0079 era Gundam combat with tactical decision-making.,
Kidou Senshi V Gundam,Side-scrolling shooter featuring V Gundam mecha in classic anime-style action.,
Kidou Senshi Z Gundam: Away to the NewType,Action RPG where you pilot Z Gundam and explore the origins of Newtypes.,
Kijin Kourinden Oni,Mythical action RPG with Japanese folklore and demon-battling quests.,
Kikuni Masahiko no Jantoushi Doraou,Strategy puzzle where you capture territories using shogi-like mechanics guided by Doraō.,
Kikuni Masahiko no Jantoushi Doraou 2,"Sequel with new maps, puzzles, and expanded shogi-based challenges.",
Killer Instinct,Fast-paced fighting game with combo-heavy combat and character finisher moves.,
Kindai Mahjong Special,Mah-jongg simulator with modern rule variations and solo play.,
King Arthur and the Knights of Justice,Adventure where King Arthur recruits heroes to save Camelot using action and strategy.,
King Arthur's World,Puzzle-adventure game where you guide Arthur and forces through inventive level designs.,
King of Demons | Majuuou,Dark beat‑’em‑up with gothic horror aesthetics and demon-slaying combat.,
King of the Monsters,Kaiju fighting game where giant monsters brawl in urban arenas.,
King of the Monsters 2,Sequel with team-based monster combat and tag-team mechanics.,
Kingyo Chuuihou! - Tobidase! Game Gakuen,Fishing school sim with arcade-style minigames and educational themes.,
Kinnikuman: Dirty Challenger,Wrestling game featuring the ridiculous wrestlers from the Kinnikuman series.,
Kirby no Kirakira Kids | Kirby's Super Star Stacker,Puzzle game where Kirby stacks stars to solve charm-based challenges.,
Kirby no Omochabako | Kirby's Toy Box,Creative sandbox game where Kirby plays within toy-themed rooms.,
Kirby Super Star | Kirby's Fun Pak,"Deluxe Kirby collection with multiple sub-games featuring platforming, racing, and more.",
Kirby's Avalanche | Kirby's Ghost Trap,Puzzle games where Kirby battles ghosts using tile-based combos.,
Kirby's Dream Course,Isometric golf-puzzle crossover starring Kirby with ball-rolling mechanics.,
Kirby's Dream Land 3,Soft platformer featuring Kirby’s pastel worlds and team-based transformations.,
Kishin Douji Zenki: Batoru Raiden,RPG with Zenki’s magical powers blasting through hordes of enemies.,
Kishin Douji Zenki: Denei Raibu,Live simulation-style RPG covering Zenki’s anime arc with cutscenes and battles.,
Kishin Douji Zenki: Tenchi Meidou,RPG where Zenki explores supernatural planes fighting mystical foes.,
Kiteretsu Daihyakka - Choujikuu Sugoroku,Board game adventure with time travel and character-based mini-games.,
Knights of the Round,Side-scrolling beat‑’em‑up featuring Arthurian legends and Disney-style visuals.,
Koi wa Balance - Tatoeba K-kun no Tabou na Ichinichi Hen,Dating sim exploring a humorous day in the life of K‑kun.,
Konae-chan no Dokidoki Penguin Kazoku,Family-friendly adventure with penguins solving household puzzles.,
Konpeki no Kantai,Naval strategy sim based on anime featuring submarine fleets and epic WWII battles.,
Koryu no Mimi,Adventure-themed mystical game exploring ancient traditions and spiritual artifacts.,
Kouryaku Casino Bar,Interactive simulation where you manage a casino bar and entertain patrons.,
Kouryuu Densetsu Villgust: Kieta Shoujo,RPG adventure tracking a missing girl in a quaint fantasy town.,
Koushien 2,Baseball sim sequels supporting high school baseball tournaments with progression systems.,
Koushien 3,Baseball sim sequels supporting high school baseball tournaments with progression systems.,
Koushien 4,Baseball sim sequels supporting high school baseball tournaments with progression systems.,
Kousoku Shikou Shougi Ou,Speed shogi variant emphasizing rapid thinking and timed matches.,
Koutetsu no Kishi,WWII strategy series where you command armored divisions across different fronts.,
Koutetsu no Kishi 2 - Sabaku no Rommel Gundan,WWII strategy series where you command armored divisions across different fronts.,
Koutetsu no Kishi 3 - Gekitotsu Europe Sensen,WWII strategy series where you command armored divisions across different fronts.,
Krusty's Super Fun House,Cartoon strategy game where Krusty traps pesky toys using clever layout puzzles.,
Kunio no Oden,Quirky puzzle game starring Kunio preparing oden dishes for wacky customers.,
Kunio-kun no Dodgeball: Dayo Zenin Shuugou!,Arcade dodgeball with Kunio and friends in family-style competition.,
Kunio-kun no Dodgeball: Dayo Zenin Shuugou! Tournament Special,Arcade dodgeball with Kunio and friends in family-style competition.,
Kuusou Kagaku Sekai Gulliver Boy,Fantasy action-platformer where Gulliver uses gadgets in magical worlds.,
Kyle Petty's No Fear Racing | Circuit USA,NASCAR-style racing with sponsor branding led by driver Kyle Petty.,
Kyuuyaku Megami Tensei: Megami Tensei I - II,Early dungeon-crawling RPG with demon negotiation and strategic combat.,
Lady Stalker: Kako Kara no Chousen,Action-RPG with challenging puzzles and dark fantasy exploration.,
Lagoon,Zelda-style action-adventure with pirate themes and swordplay.,
Lamborghini American Challenge,High-speed supercar racing with licensed Lamborghinis and desert tracks.,
Laplace no Ma | Demon of Laplace,Horror RPG where a cursed mirror leads you into supernatural investigations.,
Last Action Hero,License-based platformer blending movie scenes with action gameplay.,
Last Bible III,Tactical fantasy RPG with demon companions and moral-driven narrative.,
Leading Company,Business sim where you manage a company’s growth and infrastructure decisions.,
Leading Jockey,Horse racing sims balancing training routines and competitive race placement.,
Leading Jockey 2,Horse racing sims balancing training routines and competitive race placement.,
Legend,Action-adventure RPG with multiple endings and weapon customization.,
Lemmings,Puzzle-strategy games where you guide lemmings through obstacles using skills like digging or building.,
Lemmings 2: The Tribes,Puzzle-strategy games where you guide lemmings through obstacles using skills like digging or building.,
Lennus II: Fuuin no Shito,JRPG adventure with a custom magic system and fantasy world-lore.,
Lester the Unlikely,Quirky platformer with animated character failure humor and over-the-top deaths.,
Lethal Enforcers,Light gun arcade shooter with digitized urban crime scenes.,
Lethal Weapon,"Beat-’em‑up based on the film, punching through gritty streets.",
Libble Rabble,Arcade puzzle where you draw loops to rescue creatures with fast reflex action.,
Liberty or Death,Grand strategy game focusing on American Revolutionary War tactics and socio-economic management.,
Light Fantasy,Fantasy RPG duology with turn-based battles in whimsical worlds.,
Light Fantasy II,Fantasy RPG duology with turn-based battles in whimsical worlds.,
Little Magic,Action RPG where you control a flying magician rescuing kidnapped friends.,
Little Master: Nijiiro no Maseki,Sports-fantasy RPG combining golf mechanics with treasure quests.,
Live-A-Live,"Omnibus-style JRPG featuring seven unique stories across eras—from prehistoric to sci-fi—playable in any order, each with distinct mechanics and a shared villain in final chapters.",
Lock On | Super Air Diver,Flight sim where you pilot jet fighters with targeting HUD and arcade combat style.,
Lode Runner Twin: Justy to Liberty no Daibouken,Puzzle-platformer featuring Lode Runner’s design puzzles in a new story.,
Logos Panic,Fast-paced word-puzzle game where letters fall and you create words to clear them.,
Looney Tunes B-Ball!,"Cartoon basketball with Looney Tunes characters, each with unique moves and slapstick.",
Lord Monarch,"Strategy war sim where you raise armies, conquer territories, and defend your crown.",
Love Quest,Light RPG adventure focused on romantic story arcs and character interactions.,
Lucky Luke,Western platformer where Lucky Luke duels outlaws across American frontier stages.,
Lufia & The Fortress of Doom,RPG debut of the Lufia series—heroic quest to stop an ancient evil with puzzle dungeons.,
Lufia II: Rise of the Sinistrals,"Prequel RPG with dungeon-solving puzzles, sprawling story, and deep character arcs.",
Lupin III: Densetsu no Hihou wo Oe!,Stealth-action adventure where you control Lupin in heists across global locations.,
MACS Basic Rifle Marksmanship,Training sim teaching marksmanship through rifle practice and assessment.,
Madden NFL '94,"American football sims evolving with roster updates, realistic tactics, and annual improvements.",
Madden NFL '95,"American football sims evolving with roster updates, realistic tactics, and annual improvements.",
Madden NFL 96,"American football sims evolving with roster updates, realistic tactics, and annual improvements.",
Madden NFL 97,"American football sims evolving with roster updates, realistic tactics, and annual improvements.",
The King of Dragons,Fantasy beat-’em‑up where warriors and dragons clash with magic and melee.,
The King of Rally: Paris-Moscow-Beijing,Rally racing across iconic international routes with checkpoint challenges.,
The Last Battle,Dark beat-’em‑up featuring gritty visuals and brutal combat.,
The Lawnmower Man,Adventurous tie-in based on the VR-focused movie with both shooting and puzzle elements.,
The Legend of the Mystical Ninja,"Action-adventure with platforming, co-op, and quirky Japanese humor.",
The Legend of Zelda: A Link to the Past,"Timeless action-adventure with a legendary quest, dungeon exploration, and dual-world mechanic.",
The Lion King,Colorful platformer retelling the Disney film with smooth animation and musical moments.,
The Lord of the Rings: Volume 1,RPG adventure adapting Tolkien’s story as a classic quest through Middle‑earth.,
The Lost Vikings,"Puzzle-platformers where you switch between three Vikings, each with unique abilities, to solve levels.",
The Lost Vikings II,"Puzzle-platformers where you switch between three Vikings, each with unique abilities, to solve levels.",
Madden NFL 98,Further refined football sim with improved graphics and deeper gameplay modes.,
Madou Monogatari: Hanamaru Daiyouchi Enji,Cute dungeon crawler leading into the Puyo Puyo series with charming visuals.,
Magic Boy,Arcade platformer with color-matching gimmicks in enchanted levels.,
Magic Knight Rayearth,Tactical RPG with magic-girl anime heroes embarking on a quest to rescue a mystical realm.,
Magic Sword,Co-op hack-and-slash through fantasy dungeons with weapon upgrades.,
Magical Drop,Fast-paced puzzle where you catch and toss colored gems to chain combos.,
Magical Drop II,Sequel with new characters and faster combo gameplay mechanics.,
Magical Pop'n,Lighthearted platformer with toy-themed worlds and whimsical challenges.,
Magical Taruruuto-kun: Magic Adventure,RPG based on anime with humorous story and magical puzzles.,
Magna Braban: Henreki no Yuusha,Strategy RPG where heroes transform through narratives and tactical grid combat.,
Mahjong Club,Card game sim featuring casual mahjong with multiplayer support.,
Mahjong Gokuu Tenjiku,Fantasy mahjong with mythological tile themes and special powers.,
Mahjong Hanjouki,Mahjong arcade-style with fast matches and high score chasing.,
Mahjong Hishouden - Shin Naki no Ryuu,Epic mahjong with storytelling and intense matchups.,
Mahjong Sengoku Monogatari,Historical-themed mahjong with Sengoku warlord characters on tiles.,
Mahjong Taikai II,Competitive mahjong with advanced rules and multiplayer features.,
Mahoujin Guruguru,"RPGs based on the comedic anime with magic, levity, and dungeon puzzles.",
Mahoujin Guruguru 2,"RPGs based on the comedic anime with magic, levity, and dungeon puzzles.",
Majin Tensei,Strategy RPG spin-off of Shin Megami Tensei with demon summoning and tactical battles.,
Majin Tensei II: Spiral Nemesis,Strategy RPG spin-off of Shin Megami Tensei with demon summoning and tactical battles.,
Major Title,Realistic golf sim with popular courses and mid-range gameplay depth.,
Maka Maka,Adult-oriented puzzle game with erotic themes (caution: mature content).,
Makeruna! Makendou 2: Kimero! Youkai Souri Daijin,Fighting game infused with Japanese folklore and humorous yokai warriors.,
Manchester United Championship Soccer,Soccer sim featuring the iconic club with match tactics and team management.,
Mario & Wario,Puzzle game where Wario causes mischief and Mario helps navigate stages using tools.,
Mario is Missing!,Educational adventure where Mario travels the world teaching geography.,
Mario no Super Picross,Puzzle game using Picross logic puzzles with Mario-themed images.,
Mario Paint,"Creative tool for drawing, composing music, and mini-games including the iconic fly-swatting.",
Mario's Early Years: Fun With Letters,Educational game teaching letters through Mario-themed mini-games.,
Mario's Early Years: Fun With Numbers,Number-based learning with Mario guiding kids through activities.,
Mario's Early Years: Preschool Fun,Broad educational title for preschool kids with literacy and math mini-games.,
Mario's Time Machine,Educational historical adventure where Mario travels through time to collect artifacts.,
Mark Davis' The Fishing Master,Fishing sim featuring angler Mark Davis with tournament goals and real water scenarios.,
Marko's Magic Football,Fantasy football adventure where spells and strategy mix with gridiron gameplay.,
Marmalade Boy,Visual novel adventure based on the anime’s romantic melodramas and slice‑of‑life storytelling.,
Marvel Super Heroes: War of the Gems,Fighting game featuring Marvel characters battling through gem-themed stages.,
Marvelous: Mouhitotsu no Takarajima,Adventure-puzzle game with treasure hunting and cooperative gameplay.,
Mary Shelley's Frankenstein,Action-adventure retelling Frankenstein’s story with gothic levels and narrative.,
Maten Densetsu - Senritsu no Ooparts,Sci-fi RPG puzzle hybrid exploring ancient artifacts and cryptic technologies.,
Math Blaster: Episode 1,Educational game teaching arithmetic through engaging space-themed challenges.,
Matsukata Hiroki no Super Trolling,Fishing sim featuring pro fisherman Hiroki Matsukata with lifelike casting mechanics.,
Matsumura Kunihiro Den - Saikyou no Rekishi o Nurikaero!,Historical educational game where you rewrite Japanese history through missions.,
Maui Mallard in Cold Shadow,Platformer starring Donald Duck as detective Maui Mallard solving mysteries in shadowy locales.,
Mazinger Z,Mecha action game with giant robots and city-destroying battles based on classic anime.,
Mecarobot Golf,Futuristic golf where you pilot mecha to swing high-powered balls across sci-fi courses.,
MechWarrior,Simulation of piloting giant mechs in realistic combat scenarios.,
MechWarrior 3050,Tactical mech simulation with customization and war-based missions.,
Mega lo Mania,Strategy game where you progress through ages by planning and conquering across map regions.,
Mega Man 7,Classic side-scrolling action with Wily-stage design and new robot bosses.,
Mega Man Soccer,Sports action where Mega Man takes to the soccer field with special moves and robot teammates.,
Mega Man X,"Action-platformer with speed, wall-dashing, and upgradeable armor mechanics.",
Mega Man X2,Sequel improving mobility and boss design in the Mega Man X saga.,
Mega Man X3,Concludes X trilogy with armor shards and selectable alternate weapons.,
Melfand Stories,Fantasy RPG with turn-based battles and a narrative about lost kingdoms.,
Metal Combat: Falcon's Revenge,Light gun shooter where you pilot mechs to blast enemies on screen.,
Metal Marines,Real-time strategy sim with futuristic naval bases and fleet management.,
Metal Max 2,Open-world post-apocalyptic RPG with customizable vehicles and monster hunting.,
Metal Max Returns,Expanded version of the Metal Max framework with new quests and enhanced gameplay.,
Metal Morph,Action-platformer where you can transform into other life forms to traverse levels.,
Metal Slader Glory - Director's Cut,Enhanced visual novel with in-depth narrative and expanded artwork.,
Metal Warriors,Mech action sidescroller with team-based mechanics and futuristic settings.,
Michael Andretti's Indy Car Challenge,Racing sim featuring Indy car legend Michael Andretti and realistic tracks.,
Michael Jordan: Chaos in the Windy City,Beat-’em‑up where MJ brawls through city streets to save a kidnapped kids.,
Mickey and Donald's Magical Adventure 3,Platformer starring Mickey and Donald in whimsical cartoon worlds.,
Mickey Mania: The Timeless Adventures of Mickey Mouse,Platformer recreating classic Mickey shorts with hand-drawn animation.,
Mickey no Tokyo Disneyland Daibouken,Disney-themed platformer exploring Tokyo Disneyland with interactive rides.,
Mickey's Ultimate Challenge,Educational game combining trivia quizzes and puzzles with Disney characters.,
Micro Machines,"Top-down mini-car racing with track hazards, loops, and competitive multiplayer fun.",
Micro Machines 2: Turbo Tournament,"Miniature car racing with fast tracks, varied environments, and multiplayer chaos.",
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,Compilation of classic Atari arcade games in retro-inspired collection.,
Might and Magic II: Gates to Another World,"Classic first-person RPG with expansive world, branching classes, and strategic turn-based combat.",
Might and Magic III: Isles of Terra,"Deep RPG with sprawling maps, party-based progression, and branching storylines.",
Might and Magic: Book II (Japan),"Early export version of Might & Magic II, localized for Japanese audiences.",
Mighty Morphin Power Rangers,"Side-scrolling beat-’em-up starring the TV heroes, including special moves and cooperative combat.",
Mighty Morphin Power Rangers: The Fighting Edition,One-on-one fighting game featuring Power Rangers and villain characters.,
Mighty Morphin Power Rangers: The Movie,License-based beat-’em-up platformer recreating movie scenes with Ranger powers.,
Milandra,"2D RPG game, developed by Tomcat System and published by ASCII Entertainment, exclusively for Super Nintendo.",
Mini Yonku Let's & Go!! Power WGP 2,"Racing game based on the model car anime, featuring track customization and miniature car speed.",
Mini Yonku Shining Scorpion - Lets n Go!!,Model car racing with drifting mechanics and competitive mini-track design.,
Miracle Casino Paradise,"Relaxing casino simulator featuring slot, poker, and themed minigames in paradise setting.",
Miracle Girls,Action-RPG based on the manga/anime where twins use psychic powers to solve mysteries and support each other.,
Miyaji Shachou no Pachinko Fan - Shouri Sengen,Pachinko simulation with manager-style elements featuring company president gameplay.,
Mizuki Shigeru no Youkai Hyakkiyakou,"Adventure game based on folkloric monster tales by Mizuki, exploring yokai-filled scenarios.",
MLBPA Baseball,"Baseball sim featuring licensed MLB players (via players’ association), stat-driven matches.",
Mohawk & Headphone Jack,Abstract puzzle game combining rhythm and spatial themes in surreal music levels.,
Momotarou Dentetsu Happy,"Board-style travel game where players tour Japan by train, buying stations and collecting fortune.",
Monopoly,"Classic board game adaptation—buy properties, conduct auctions, and bankrupt opponents.",
Monstania,Monster-raising RPG where you capture and train creatures to battle through story and unlock evolutions.,
Monster Maker III: Hikari no Majutsushi,RPG focused on creating and combining monsters through magical synthesis to form powerful allies.,
Monster Maker Kids: Ousama ni Naritai,Lighthearted monster creation game targeted at children—collect and transform cute creatures.,
Mortal Kombat,"Groundbreaking 2D fighter famous for digitized sprites, visceral finishers, and competitive combat.",
Mortal Kombat 3,"Faster-paced fighting with weapon usage, run moves, and cinematic backgrounds.",
Mortal Kombat II,"Sequel with enhanced graphics, new fighters, improved combos, and expanded fatalities.",
Motoko-chan no Wonder Kitchen,Educational cooking sim with adorable characters and hands-on ingredient mini-games.,
Motteke Oh! Dorobou,"Party mini-games inspired by the anime series, filled with quirky comedic challenges.",
Mountain Bike Rally,"Racing sim with mountain trails, realistic bike handling, and terrain-based challenges.",
The Magical Quest Starring Mickey Mouse,Platformer where Mickey uses costumes with unique powers to rescue Minnie.,
The Mahjong Touhaiden,Mahjong simulation with fantasy-styled tiles and story-driven competitive matches.,
The Mask,Action-platformer based on the movie—Madcap levels and crazy powers following the titular character.,
The Monopoly Game 2,"Digital version of the board game with new boards, updated rules, and AI opponents.",
Mouryou Senki Madara 2,Adventure RPG continuing a dark fantasy saga with complex story and character progression.,
Mr. Bloppy Saves the World,Quirky platformer where a sludge blob hero saves the planet in a comedic campaign.,
Mr. Do!,"Classic maze arcade game where you dig tunnels, collect cherries, and avoid monsters.",
Mr. Nutz,"Colorful platformer starring a squirrel saving a forest with spins, jumps, and acrobatic moves.",
Ms. Pac-Man,"Iconic maze-chase game with new mazes, smarter ghosts, and quicker gameplay than the original.",
Mujintou Monogatari,"Desert island survival RPG where you gather resources, craft tools, and build shelter.",
Multi Play Volleyball,Beach volleyball game supporting multiplayer play with simple arcade-style action.,
Musya: The Classic Japanese Tale of Horror,Atmospheric hack-and-slash set in feudal Japan fighting yokai in dark temples.,
Mystery Circle,Puzzle game focused on logical deduction and restoring corrupted patterns in circular grids.,
Mystic Ark,Spiritual successor to Zelda-style action RPGs with multiple overlapping stories and unique gameplay mechanics.,
Nage Libre - Seijaku no Suishin,Arena RPG combining card strategy and tactical combat with quick decision-making.,
Nakajima Satoru F-1 Hero '94,Formula 1 racing sim featuring real drivers and circuits from the '94 season.,
Nakajima Satoru Kanshuu: Super F-1 Hero,"Enhanced follow-up with supervision by driver Nakajima, improved physics and visuals.",
Nakano Kouichi Kanshuu Keirin Ou,"Bicycle racing sim under guidance of pro cyclist Nakano, focusing on keirin tactics and pacing.",
Naki no Ryuu - Mahjong Hishouden,"Mahjong game based on the ""Legend of the Bloody Death"" anime, featuring dramatic matches.",
Namcot Open,Stylish golf sim combining realistic swing mechanics and attractive stylized visuals.,
Nangoku Shounen Papuwa-kun,Action-platformer based on the eccentric manga with paranormal themes and quirky humor.,
Naruhodo! The World,"Trivia game testing player knowledge of geography, culture, and international facts.",
Natsuki Crisis Battle,Anime fighting game featuring female fighters with dramatic attacks and storyline arcs.,
NBA All-Star Challenge,Close-action basketball sim highlighting fast-paced five-on-five gameplay.,
NBA Give N Go,"Arcadey basketball emphasizing alley-oops, dunks, and quick offensive moves.",
NBA Hang Time,"Upbeat arcade basketball with alley-oops, 3-on-3 matches, and exaggerated athleticism.",
NBA Jam,"Legendary arcade-style basketball relishing in over-the-top dunks, fast play, and frenzied commentary.",
NBA Jam: Tournament Edition,"Legendary arcade-style basketball relishing in over-the-top dunks, fast play, and frenzied commentary with new rosters, hidden characters, and improved AI to the classic formula.",
NBA Live 95,"Annualized basketball sim series with evolving rosters, improved realism, and new features.",
NBA Live 96,"Annualized basketball sim series with evolving rosters, improved realism, and new features.",
NBA Live 97,"Annualized basketball sim series with evolving rosters, improved realism, and new features.",
NBA Live 98,"Annualized basketball sim series with evolving rosters, improved realism, and new features.",
NBA Showdown,One-on-one basketball with streetball styling and high-energy scoring.,
NCAA Basketball,"College basketball sim with team play, strategy, and NCAA-style rules.",
NCAA Final Four Basketball,Tournament-based college basketball with bracket-style competition.,
NCAA Football,"College football title featuring playbooks, team strategy, and seasonal tournaments.",
NCW: Natsume Championship Wrestling,"Wrestling sim with colorful characters, flashy moves, and dynamic arenas.",
Nekketsu Tairiku Burning Heroes,"A beat ’em up game in the style of Kunio-kun, featuring street fights, special moves, and charismatic characters.",
Neugier: Umi to Kaze no Kodou,A cinematic platformer with stylized visuals and a dramatic story involving the sea and wind.,
New 3D Golf Simulation - Harukanaru Augusta,"A golf simulator focused on the iconic Augusta National course, with realistic physics and tournament modes.",
New 3D Golf Simulation - Waialae no Kiseki,"Another golf simulator emphasizing the Waialae Country Club in Hawaii, featuring detailed graphics and strategic gameplay.",
New Yatterman - Nandai Kandai Yajirobee,Comedy-platformer based on Yatterman anime featuring mechanical mayhem.,
Newman/Haas IndyCar featuring Nigel Mansell,Open-wheel racing sim where you pilot Mansell’s car through Indy circuits.,
NFL Football,"American football sims with authentic teams, season modes, and play-calling options.",
NFL Pro Football '94,Arcade/Simulation hybrid simulating quarterback play with licensed team rosters.,
NFL Quarterback Club,"Annual hockey sim with improved AI, better graphics, and detailed team rosters through the years.",
NFL Quarterback Club 96,"Annual hockey sim with improved AI, better graphics, and detailed team rosters through the years.",
NHL '94,"Annual hockey sim with improved AI, better graphics, and detailed team rosters through the years.",
NHL 95,"Annual hockey sim with improved AI, better graphics, and detailed team rosters through the years.",
NHL 96,"Annual hockey sim with improved AI, better graphics, and detailed team rosters through the years.",
NHL 97,"Annual hockey sim with improved AI, better graphics, and detailed team rosters through the years.",
NHL 98,"Annual hockey sim with improved AI, better graphics, and detailed team rosters through the years.",
NHL Stanley Cup,Official NHL championship bracket-style hockey sim with realistic league-style play.,
NHLPA Hockey 93,Early NHL sim featuring real players (via players’ association license) and arcade controls.,
Nice de Shot,Photography-themed game where timing and framing shots earns points and creativity.,
Nichibutsu Arcade Classics,Collections of classic Nichibutsu shooter and puzzle arcade titles for nostalgia fans.,
Nichibutsu Arcade Classics 2: Heiankyou Alien,Collections of classic Nichibutsu shooter and puzzle arcade titles for nostalgia fans.,
Nichibutsu Collection 1,Broader compilations of Namco/Nintendo classics including licensed ports and obscure titles.,
Nichibutsu Collection 2,Broader compilations of Namco/Nintendo classics including licensed ports and obscure titles.,
Nickelodeon Guts,"Game-show adaptation based on the TV show, testing athletic and trivia challenges.",
Nigel Mansell's World Championship Racing,"F1 sim featuring Nigel Mansell, including race weekends and car tuning.",
Ninja Gaiden Trilogy,Side-scrolling ninja adventures across three action-packed entries.,
Nintama Rantarou,Educational platformer based on comedy ninja anime series with child-friendly gameplay.,
Nintama Rantarou 2,Educational platformer based on comedy ninja anime series with child-friendly gameplay.,
Nintama Rantarou 3,Educational platformer based on comedy ninja anime series with child-friendly gameplay.,
Nintama Rantarou Special,Educational platformer based on comedy ninja anime series with child-friendly gameplay.,
Nintendo PowerFest '94,Tournament-style bundle including game modes and password competitions across selected titles.,
Nishijin Pachinko Monogatari,Pachinko simulation trilogy exploring different machines with mini-games and tutorials.,
Nishijin Pachinko Monogatari 2,Pachinko simulation trilogy exploring different machines with mini-games and tutorials.,
Nishijin Pachinko Monogatari 3,Pachinko simulation trilogy exploring different machines with mini-games and tutorials.,
No Escape,Action game based on the film; evade pursuers and survive dystopian chases.,
No Hash 23638,(Details unavailable—perhaps an obscure or canceled title.),
Nobunaga Kouki,Series of historical strategy sims where you manage feudal Japan as warlord Oda Nobunaga.,
Nobunaga no Yabou: Haouden,Series of historical strategy sims where you manage feudal Japan as warlord Oda Nobunaga.,
Nobunaga no Yabou: Tenshouki,Series of historical strategy sims where you manage feudal Japan as warlord Oda Nobunaga.,
Nobunaga's Ambition,Series of historical strategy sims where you manage feudal Japan as warlord Oda Nobunaga.,
Nobunaga's Ambition: Lord of Darkness,Series of historical strategy sims where you manage feudal Japan as warlord Oda Nobunaga.,
Nolan Ryan's Baseball,Baseball sim featuring pitcher Nolan Ryan—emphasizing realistic pitching mechanics.,
Nomark Baku Haitou - Shijou Saikyou no Janshi-tachi,Fighting game based on rock-paper-scissors battles in humorous animations.,
Nontan to Issho: Kurukuru Puzzle,Children’s puzzle game featuring Nontan rotating shapes to match patterns.,
Nosferatu,Horror adventure with Gothic visuals and vampire-tinged narrative.,
Numbers Paradise,Number-themed puzzle game challenging math logic across levels.,
O-chan no Oekaki Logic,Drawing-based puzzle game where you create images by solving logic picross-style puzzles.,
Obitus,Weird action-adventure RPG blending haunted mansion exploration with visual novel storytelling.,
Oda Nobunaga: Haou no Gundan,Strategy sim focusing on Oda’s campaigns to unify feudal Japan—military tactics and alliances.,
Oekaki Logic,Drawing puzzle games building images using numbered grid logic.,
Oekaki Logic 2,Drawing puzzle games building images using numbered grid logic.,
Ogre Battle: The March of the Black Queen,Tactical RPG blending real-time strategy and JRPG elements with branching paths and character permadeath.,
Okamoto Ayako to Match Play Golf - Ko Olina Golf Club in Hawaii,Golf sim with pro endorsement and Hawaiian course accuracy.,
Olivia no Mystery,Mystery adventure game featuring character Olivia solving puzzles in atmospheric locations.,
Olympic Summer Games,Sports compilation replicating summer Olympic events across multiple disciplines.,
